,Sentences
3909,"E 31    Dubai Building Code    Part E: Building envelope     Performance statements    Definitions    References    Framework    Structural system requirements    Materials    Loads    Performance and serviceability requirements    Geotechnics    Annex: Seismic acceleration and damping  parameters    Annex: Dubai sustainable concrete baseline (DSCB)    Annex: Precast stairs    F.1    F.2    F.3    F.4    F.5    F.6    F.7    F.8    F.9    F.10    F.11    F.12    F 1    Dubai Building Code    Part F    Structure       F.1    Performance statements    Performance statement    The building structure shall safely  sustain and transmit to the ground  the combined dead, imposed, thermal,  wind and seismic load conditions for its  intended life."
3910,The building structure shall provide a  structure that protects other property  from physical damage.
3911,The building structure shall provide  a structure that does not sustain  damage or collapse to an extent that is  disproportionate to the cause.
3912,The performance statement will be met  by following the requirements of:    F.5 to F.9    F.8 and F.9    F.5.5    F 2    Dubai Building Code    Part F: Structure     F.2    Definitions    F.2.1    Terms    Floor height: Distance between adjacent floor levels measured from the top of the  floor to the top of the floor above.
3913,Geotechnical laboratory: Physical or legal entity in charge of carrying out  geotechnical soil investigations and licensed to practice investigation activities in  Dubai in accordance with the applicable legislation.
3914,"Geotechnical Specialist Contractor: Physical or legal person in charge of carrying  out specialist geotechnical works and design, and licensed to practice geotechnical  construction and design activities in Dubai in accordance with the applicable  legislation."
3915,Ground level: Average level of the ground surface or sidewalk at the centre of all  exterior walls of a building.
3916,Serviceability: Condition beyond which a structure or member becomes unfit for  service and is judged to be no longer useful for its intended use.
3917,"Strand: High strength steel wires wound around a central wire, typically a seven-wire  strand, which can be used as a prestressing reinforcement in tendons."
3918,"Tendon: Complete assembly consisting of anchorages, prestressing reinforcement,  and sheathing with coating for unbonded applications or ducts filled with grout for  bonded applications."
3919,"F 3    Dubai Building Code    Part F: Structure     Acronyms and abbreviations    American Concrete Institute    GGBS    ground granulated blast-furnace slag    SPT    standard penetration test    SPERWall    specification for piling and embedded retaining  walls    TMS    The Masonry Society    UAE FLSC    United Arab Emirates Fire and Life Safety Code  of Practice    UFC    UK NA    w/c    WAI    Unified Facilities Criteria    UK National Annex to Eurocode    water/cement ratio    weighted average impact    American Institute of Steel Construction    American Society of Civil Engineers    ASTM International    Applied Technology Council    American Welding Society    British Standard    British Standard European Norm    chapter    circular hollow section    Construction Industry Research and Information  Association    Concrete Reinforcing Steel Institute    cementitious materials    cone penetration test    cyclic resistance ratio    cyclic stress ratio    Dubai Building Code    Dubai Civil Defence    Dubai Municipality    Dubai Municipality datum    Dubai sustainable concrete baseline    Emirates International Accreditation Centre    factor of safety    ground level floor    GIFR    GIR    HSS    IBC    ICE    ISO    LCA    MEP    MRI    NOC    OPC    MPa    PCI    PGA    PGD    PGV    psi    PT    PTI    PTP    RHS    SCI    SHS    geotechnical investigation factual report    geotechnical interpretative report    hollow structural section    International Building Code    Institution of Civil Engineers    International Organization for Standardization    lifecycle assessment    mechanical, electrical and plumbing    mean recurrence interval    no objection certificate    ordinary Portland cement (CEM I as defined in  BS 8500-1:2015)    megapascal    Precast/prestressed Concrete Institute    peak ground acceleration    peak ground displacement    peak ground velocity    pound per square inch    post-tensioned    Post-tensioning Institute    preliminary test pile    rectangular hollow section    Steel Construction Institute    square hollow section    F.2.2  ACI    AISC    ASCE    ASTM    ATC    AWS    BS    BS EN    Ch."
3920,CHS    CIRIA    CRSI    Cm    CPT    CRR    CSR    DBC    DCD    DM    DMD    DSCB    EIAC    FS    G    F 4    Dubai Building Code    Part F: Structure     SSζ    T    TL    Vref    wk  β1    βS    δMT    δmax    δM    Ф    ζ    ∑    adjusted damping parameter at short period    fundamental period of the building (s)    long-period transition period (s)    reference wind speed (m/s) in accordance with  ASCE/SEI 7-16 (i.e.
3921,3 s gust speed at 10 m  above the ground in exposure category C)    crack width limit    damping adjustment factor for long-period    damping adjustment factor for short period    total maximum displacement    maximum deflection at the location required by  this section determined by an elastic analysis    maximum inelastic response displacement of a  structure    steel reinforcement bar diameter    damping coefficient    sum of    F.2.3  Acf    As    B    Bav    bw    Cd    Ec    Es    EI    Fa    Notation    gross cross-sectional area of concrete elements    area of steel in concrete    building width    average building width normal to the wind  direction over the top height of the building    width of the column face through which the  reinforcement passes    deflection amplification factor    modulus of elasticity of concrete    modulus of elasticity of soil    stiffness    short period site coefficient at 0.2 s period    FPGA    site coefficient for peak ground acceleration    compressive cubic strength of concrete at 28  days    compressive cylindrical strength of concrete at  28 days    yield strength    total height of building    floor to floor height measured from the top of  the floor to the top of the floor above.
3922,"thickness of concrete slab    hydrostatic pressure    thickness of concrete wall    importance factor    coefficient of soil pressure at rest    wind directionality factor    fcu    f'c    fy    H    Hs    h    hD    hw    Ie    K0    Kd    F 5    Kh    Kv    Ks    LA    MCER    MCEG    nh    PGAM    S1    SD1    SDS    SM1    SMS    SS    SS LS    S1 LS    S1ζ    horizontal modulus of sub-grade reactions    vertical spring constants    piles stiffness    span of slab    risk-targeted maximum considered earthquake    maximum considered earthquake geometric  mean    constant of horizontal sub-grade reaction    MCEG peak ground acceleration adjusted for site  effects (FPGA)    MCER, 5% damped spectral responses  acceleration parameter at a period of 1s    design, 5% damped, spectral response  acceleration parameter at a period of 1 s    design, 5% damped, spectral response  acceleration parameter at a short period    MCER, 5% damped, spectral response  acceleration parameter at a period of 1 s  adjusted for site class effect    MCER, 5% damped, spectral response  acceleration parameter at a short period  adjusted for site class effect    MCER, 5% damped spectral responses  acceleration parameter at short period    life safety, 5% damped spectral responses  acceleration parameter at short period    life safety, 5% damped spectral responses  acceleration parameter at a period of 1 s    adjusted damping parameter at a period of 1 s    Dubai Building Code    Part F: Structure     F.3    References    F.3.1    Essential references    General    F.3.1.1  ASCE/SEI 7-16, Minimum design loads and associated  criteria for buildings and other structures    ASCE 37, Design loads on structures during  construction    ASCE 41, ASCE 41, Seismic evaluation and retrofit of  existing buildings    ISO 10137, Bases for design of structures –  Serviceability of buildings and walkways against  vibrations    Ref."
