,Sentences
416,"1    Terms    Accessibility: Ease of independent approach, entry,  evacuation and/or use of a building and its services  and facilities by all of the building’s potential users,  regardless of disability, age or gender, and with an  assurance of individual health, safety and welfare."
417,"    Accessible: Site, building, facility or portion thereof  that conforms to Part C."
418,"    Advertising: Any identification or description or  drawing or any other means to be fitted or erected or  printed or written or drawn, either directly or indirectly,  or any building or structure or plot, whose purpose is  to draw attention to any business, product, service, etc."
419,"    Affection plan: Plan of the plot or site issued by the  Authority, showing information that includes (but is  not limited to) the plot boundaries, plot dimensions,  plot areas, setbacks and surroundings as well as the  land uses."
420, Also called site plan.
421,"    Amenity space: Public or private area within the  boundaries of a plot or a development site for the  building occupant’s recreation or convenience (such as  landscaped areas, patios, swimming pools, play areas,  prayer rooms, exercise areas and similar uses)."
422,"    Annex: Building or installation, attached to or  independent from the main building, the use of which  is secondary or complementary to the function of the  main building."
423,"    B 3    Arcade: Roofed corridor that leads to any building,  faces a street or open courtyard, or links more than  one building."
424, Usually formed through a series of arches  supported on columns or piers (see Figure B.
425,1).
426,    Authorized use: Plot use or building occupancy  authorized according to the classification of lands  in Dubai noted in the official affection plan or  development regulation.
427,"    Balcony: Covered or uncovered occupied projection or  partial projection outside the external walls, attached  to the building and accessed from the building's  interior spaces (see Figure B."
428,2).
429,    Figure B.
430,"1 Arcade    Assembly: Occupancy classification associated with  the gathering of people for deliberation, worship,  entertainment, eating, drinking, amusement, awaiting  transportation, or similar uses."
431,"    Atrium: Large-volume space created by a floor opening  or series of floor openings, connecting two or more  storeys or exceeding 15 m in height from finished floor."
432,"  The space is covered at the top of the opening(s) and  used for purposes other than an enclosed stairway,  an elevator hoistway, an escalator opening or a utility  shaft."
433,    Figure B.
434,2 Balcony    Basement floor: Storey of a building wholly or partly  below the gate level that is not the first storey above  gate level.
435," A basement slab soffit level is not higher  than 1,200 mm above the building gate level."
436,"    Dubai Building Code    Part B: Architecture     Bathroom: Room containing a water closet, a  washbasin, and either a bathtub, a shower, or both."
437,"    Bi-separator: Piece of equipment fitted to the end of a  refuse chute which allows the user to deposit multiple  waste streams, such as recycling and residual waste,  into a single refuse chute."
438,"    Building height, total: Vertical distance measured from  the approved road edge level at the plot main access to  the highest roof surface or element."
439,    Building height: Vertical distance measured from the  approved road edge level at the plot main access to the  mean finished level of the building roof.
440,"    Boundary wall/fence: Free-standing structure  constructed from approved materials surrounding a  plot, resting on the ground and rising above ground  level and used for confinement and/or screening for  safety or security or division purposes."
441,    Building: Structure for the use or occupancy of people  or for shelter.
442,"    Building element: Component of a building, which  might or might not be of fire resistance rated  construction and is constructed of approved materials."
443,"    Building envelope: Physical barrier between the  exterior and the conditioned environment of a building  to resist air, water, moisture, heat, cold, light, and noise  transfer."
444," For an air-conditioned building, the building  envelope comprises the elements of a building that  separate conditioned spaces from the exterior."
445, Crown  extensions to the façade to cover plant screen cladding  are part of the building envelope.
446, The building envelope  does not include the physical barrier below ground.
447,    Building occupants: Persons using the building.
448,"    Building projection: Projection or protrusion that  extends outside the vertical external wall of the floor  below, such as balconies."
449,"    Building setback: Horizontal distance between the  nearest part of any building or structure on the plot  above ground and the plot boundary, measured  perpendicular to the plot boundary."
450,"    Built environment: External and internal environments  and any element, component or fitting that is  commissioned, designed, constructed and managed for  use by people."
