,Sentences,length,word_count,length_change,wordcount_change
5209,"key 01 rj45 patch panel – 1u 02 cabl manag panel – 1u 03 4 port fibr termin box (2-port sc/apc 2 port lc/apc) 04 perfor door 05 13 twin socket (from dedic circuit breaker) 06 bottom area left free space operator’ use figur k.88 consolid cabinet 450 mm ×150 mm – serv 8-port dubai build code part k villa key 01 13 twin socket (from dedic circuit breaker) 02 1u metal shelf etisalat 03 4 port fibr termin box (2-port sc/apc 2 port lc/apc) 04 perfor door 05 categori 6 rj45 patch panel – 1u 06 cabl manag panel – 1u 07 1u metal shelf du figur k.89 consolid cabinet 600 mm × 300 mm – serv 8-port k 140 figur k.90 fibr termin box fit within consolid cabinet key 01 4 core sm indoor drop fibr cabl – flat cross section 02 sc/apc sc/apc simplex patch cord 03 lc/apc sc/apc simplex patch cord 04 fibr termin box 2-port sc/apc 2-port lc/apc 05 optic network termin dubai build code part k villa paramet detail requir small medium villa/townhous eight load copper port larg villa/townhous eight 24 load copper port 12u, 450 mm × 150 mm 12u, 600 mm × 300 mm 150 mm minimum intern dimens (h × w × d) mount locat conceal wall front cabinet flush wall mount restrict locat access area insid premis close entranc insid kitchen, pantry, washroom, laundri room bedroom close sourc water heat close electr distribut busbar mount height instal bottom cabinet height 600 mm 1,200 mm ffl, accord site condit equip clearanc adequ safe work space around locat area light ventil copper cabl patch panel twist pair copper cabl minimum 500 lux maintain 1,000 mm finish floor minimum one air chang per hour 24 port 450 mm copper patch panel 24 port 600 mm copper patch panel 24 copper cabl less 24 copper cabl cabl manag cabl entri accommod incom fibr optic copper cabl",1743,322,228,0
5210,optic fibr termin secur power horizont cabl manag copper patch cabl fibr termin box adapt pigtail two lc/apc port two sc/apc port four core sm fibr drop cabl termin,164,29,37,0
5211,lockabl front door 13 dual socket insid consolid cabinet dedic circuit breaker domest suppli loop gener power socket k.9.7.4.3 cabl pathway cabl pathway specif shall conform tabl k.52,183,28,30,0
5212,follow requir shall met cabl tray conduit pathway system,56,9,11,0
5214,b) day one cabl instal shall exceed 50% pathway capac,53,10,10,0
5215,c) cabl tray shall hot-dip galvan slot steel shall hdrf construct,65,11,12,0
5217,"e) slab penetr wall penetr pathway pass fire-r construct shall seal approv fire stop materi accord section 3, ch.1 uae flsc ref. k.1. fire stop shall reinstat whenev cabl instal complet initi fire stop work",206,35,60,0
5218,f) vertic pathway shall continu level reduct capac penetr,57,9,19,0
5219,g) pathway shall run area expos 1) excess heat 2) moistur 3) corros atmospher environment condit 4) high voltag 5) rfi 6) emi,125,23,21,0
5220,label villa/townhous number tabl k.51 minimum specif consolid cabinet h) separ telecom electr pathway shall conform iso/iec 14763-2,131,18,29,0
5221,k 141 dubai build code part k villa i) conduit junction/pul box dimens shall 300 mm × 300 mm × 150 mm (w × h × d) minimum intern dimens,135,30,14,0
5222,"pathway via slab open vertic pathway specif allow vertic rout telecom conduit two × 50 mm conduit (copper), junction/pul box per floor per conduit horizont pathway one × 25 mm conduit per dual copper outlet cabinet increas conduit size multipl dual outlet fed rout junction/pul box sharp/90° bend rout 30 tabl k.52 cabl pathway specif k.9.7.4.4 cabl termin equip fix perman instal telecom cabl shall halogen-fre achiev minimum rate cca-s1b, d2, a2 test accord bs en 13501-6 ce marked. note ce mark repres manufactur declar product conform applic manufactur test standard",570,91,101,0
5224,optic fibr compon shall select approv product list held sp,58,10,12,0
5225,"villas/townhouses, fibr optic cabl shall provid sp",50,7,6,0
5226,within villa/townhous develop shall suppli 12u consolid cabinet four port fibr termin box (with lc/apc sc/apc pigtail adaptors) fit insid cabinet sp termin 4 core sm drop cabl,175,28,21,0
5227,"deliv servic consolid cabinet build outlets, twist pair copper cabl shall provided. full design respons develop however, follow minimum requir shall follow effici effect provis servic",183,26,48,0
5228,a) cabl compon shall conform minimum requir categori 6 specifi iso 11801-1,74,12,14,0
5231,d) design shall includ addit spare to provid servic flexibl tenant,66,11,14,0
5235,h) perman link cabl length consolid cabinet shall exceed 90,59,10,9,0
5236,i) cabl length shall de-rat requir due local temperatur condit cabl specif enabl end-to-end error free channel perform 1 gbp categori 6 10 gbp categori 6,153,26,27,0
5237,"j) consolid cabinet, copper cabl shall termin rj45 patch panel label socket outlet served. termin shall tia 568b pair scheme",124,20,20,0
5238,"k) to, cabl shall termin maintain twist pair termination. termin shall accord select manufactur instal instruct",111,16,29,0
5240,"k 142 dubai build code part k villa m) compon system shall categori (6 6 a) type (utp stp), singl manufacturer, ensur optimum perform compat",140,25,21,0
5241,n) test result copper cabl test shall save record futur refer purpos,68,12,13,0
5242,label scheme k.9.7.4.5 k.9.7.4.5.1 gener instal system shall administ accord iso/iec-14763-1. section instal shall provid suitabl identif label clearli indic locat purpos item cable. instruct “optic fibr caution” notic shall also provided. label shall english arab font size suit individu applic,295,41,63,0
5243,k.9.7.4.5.2 sp gaid eid identif plate villa/townhous sp identif plate (see figur k.91) shall instal villa/ townhouse. identif plate shall made plastic plate light metal plate alphanumer charact (gaid eid) engrav it. gaid eid refer number detail shall made avail develop inspect stage,283,43,47,0
5244,"figur k.91 exampl eid gaid identif plate label detail k 143 dubai build code part k villa k.9.7.4.5.3 compon locat label label telecom cabl equipment, common suffix design shall use label text detail tabl k.53 tabl k.54",219,37,48,0
5245,"locat equip rack floor tabl k.53 label design label design rck fl label type format label cabinet insid villa/ townhous “floor number/name” – “locat + number” exampl fl01-acp12 label 4 core fibr termin box (alway termin pigtail 1 core 1 sm fibr cable) mmr rack number-odf number-odf row/slot number- core number tabl k.54 label scheme equip rk2-odf1-s1-c1,c2,c3,c4 label scheme 2 core adapt insid fibr termin box shall follow figur k.92 depend upon orient adaptor",463,74,79,0
5246,"figur k.92 label scheme 2 core adapt insid fibr termin box k 144 dubai build code part k villa k.10 indoor environ k.10.1 hvac system occup comfort k.10.1.1 gener section set minimum requirements, basi design heating, ventil air-condit (hvac) system thermal comfort within buildings. relev sustain criteria cross-refer uae flsc ref. k.1 included. hvac system shall design minim energi usag ensur comfort build occupants. system shall select ensur long life, easi mainten simpl effect controls. system applic cover section, design solut guidanc shall obtain current edit ashra handbooks, guid standard",600,90,100,0
5247,"k.10.1.2 acoust requir nois criteria ch. 49, tabl 1 ashra hvac applic handbook ref. k.32 identifi design guidelin accept nois level hvac-rel background nois rang typic build room types. design guidelin shall use basi determin accept nois level specif room type within villa. higher lower valu consid desirable, analysi economics, space use user need shall obtain acoust consult determin appropri valu",400,61,73,0
5248,build hvac energi load k.10.1.3 k.10.1.3.1 outdoor design condit design criteria valu shown tabl k.55. shall use outdoor design condit dubai. design criteria dri bulb temperatur wet bulb temperatur dubai citi latitud (north) extent variat temperatur day design (outdoor daili range) valu use 46 °c 29 °c 25 °n 13.8 °c climat zone 0b (a given tabl a-6 ashra 169- 2013) tabl k.55 outdoor design condit dubai indoor design condit k.10.1.3.2 design criteria valu shown tabl k.56 shall use indoor design condit dubai,511,83,45,0
5249,design criteria dri bulb temperatur rel humid valu use 24 °c ± 1.5 °c 50% ± 5% tabl k.56 indoor design condit dubai k 145 dubai build code part k villa indoor design condit vari depend occup use room villa. ashra hvac applic handbook ref. k.32 shall use refer indoor design condit specif occup usag,298,55,57,0
5250,k.10.1.3.5 extern load criteria build envelop shall meet requir k.7.2 determin thermal transmitt shade coeffici,111,15,23,0
5251,"divers factor use heat load calcul known, coeffici indic ch. 18 ashra fundament handbook ref. k.33 shall use",108,18,24,0
5252,follow safeti factor shall appli a) sensibl heat ≤10% b) latent heat ≤5%,72,13,7,0
5253,"k.10.1.3.3 outdoor air design condit build fulli air-condit shall provid outdoor air system. system shall ensur build provid outdoor air least 95% year. follow maximum design temperatur shall used, outdoor air treat a) dri bulb temperatur 34 °c b) wet bulb temperatur 32 °c",273,44,30,0
5254,"k.10.1.3.4 heat gain loss calcul heat load calcul shall carri air-condit space, includ peak load incid space. calcul shall carri use softwar regist author",154,24,44,0
5255,follow paramet shall taken account build load calcul a) build envelop orient b) build envelop design construct detail c) build floor plan d) build elev section e) impact extern shade factor (see k.7.2.3) f) special requir build use oper,236,39,65,0
5256,intern load criteria k.10.1.3.6 k.10.1.3.6.1 occup total number occup shall determin base ashra 62.2- 2019,106,15,14,0
5257,"k.10.1.3.6.2 light project specif light load shall used. light load available, shall determin base recommend ashra 90.1. k.10.1.3.6.3 electr equip load project specif electr equip load shall used. equip load available, shall recommend ashra 90.1 applic type",257,37,56,0
5258,"k 146 dubai build code part k villa k.10.1.3.7 build energi simul model energi simul model undertaken, required, evalu energi perform predict annual energi consumption/co2 emiss villas/townhous floor area greater 2,000 m2",221,32,40,0
5259,chiller shall meet minimum effici requir test procedur given tabl 6.8.1 tabl 6.8.3 ashra 90.12019,97,15,16,0
5260,"chiller equip requir shall met chillers, includ leav fluid design temperatur <4.5 °c",84,13,17,0
5261,model softwar packag capabl determin energi load requir set ashra standard 90.2. energi model carri use licens softwar regist author jurisdict,142,21,38,0
5262,"thermal comfort criteria k.10.1.4 hvac system shall capabl provid rang intern condit tabl k.57, 95% year variabl dri bulb temperatur rel humid lower limit 22.5 °c 30% (min) tabl k.57 thermal comfort requir upper limit 25.5 °c 60% (max) occup comfort, normal occupi space shall averag air veloc 0.2 m/ 0.3 m/",307,52,42,0
5263,"energi conserv effici build system k.10.1.5 k.10.1.5.1 minimum effici hvac system hvac equip system shall meet minimum energi effici requir test procedur approv a) uae. 5010-1 label – energi effici label electr appliances, part 1 household air-condition emir author standardis metrolog (esma) k.10.1.5.2 effici size hvac system hvac system shall effici size minim energi use build",380,56,85,0
5264,thermal energi load calcul shall carri condit area build result calcul shall use basi select air-condit equip,109,17,39,0
5265,"ventil calcul shall carri out. result calcul shall use size outdoor air systems, exhaust system energi recoveri unit (if applicable)",132,20,25,0
5266,"k.10.1.5.3 central air-condit unit equip energi recoveri unit regul air intak system prevent energi loss exhaust condit air atmosphere, energi recoveri system shall use combin suppli extract air handl unit applic found practic term a) quantiti air extract b) avail energi recoveri system capac c) assess benefit",311,47,57,0
